Product Id,Competitive Product,Date of Info,By,Sold By,Fulfilled By,ASIN,Price,Count of Items,Prime? (Y/N),Free Shipping? (Y/N),# of Reviews,Rating,Types of Snacks,Bullet 1,Bullet 2,Bullet 3,Bullet 4,Bullet 5,Enhanced Brand Content? (Y/N),Subscribe and Save? (Y/N),Amazon Brand Store? (Y/N),Link to Amazon Brand Store,Shipping Weight,Amazon Best Sellers Rank: (X in Category),# ,General Category ,Amazon Best Sellers Rank: (X in Category),##,Grocery Category ,Sell on Their Own Website? (Y/N),Link to Own Website,,Price per item (formula)
12A,"Healthy Snack Bars Sampler Box: Premium Mix Of Natural Organic Non-gmo High Protein Bars, Breakfast Bars, Energy Bars, Chia Bars, On The Go Snack Bars Variety Pack (40 Bars)",6/7/19,Bunny James ,Bunny James Boxes,Amazon,B07FZWZTRP,$79.99 ,40,Y,Y,9,4,"Healthy Snack Bars - Non-gmo High Protein, Breakfast, Energy, Chia","BUNNY JAMES PREMIUM BAR SAMPLER BOX: Perfect for anyone who wants to try the newest, healthiest, and most delicious bars around. We found 40 of our favorite premium bars and paired them together for you. Finally there is a one stop shop to discovery your new favorite bars!","ENERGY PROTEIN BARS VARIETY PACK VALUE PACK: Perfect for CrossFit, Cycling, Triathlons, Body Building, Cross Training, and Running. This box is portable for those on the go and was designed to be a guilt free healthy choice between meals.","GREAT HEALTHY GIFT CARE PACKAGE: Ideal for those who lives in the gym! College care package, Get well soon gift for those on paleo or for those who are thinking about going paleo!","VARIETY OF FLAVORS & STYLES: including Chocolate, Cookies and Cream, Strawberry, Blueberry, Peanut Butter, Coconut, and Honey Oat. Pea Protein, Sunflower, Fig, Chia, flax, and Fruit.","FORGET COMPRISE! Treat yourself or someone special to this memorable gift! if you are not thrilled and loving your Bunny Box, Let us know and will refund you- no questions or hassles. Select 'THIS IS A GIFT' & 'CONCEAL PACKAGE' at checkout no need for additional gift wrapping!",Y,N,Y,https://www.amazon.com/stores/node/15627064011?_encoding=UTF8&field-lbr_brands_browse-bin=BUNNY%20%C2%B7%20JAMES%20%C2%B7&ref_=bl_dp_s_web_15627064011,4 lbs,"#169,418 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)",169418,Grocery & Gourmet Food,#138 in Food Assortments & Variety Gifts,138,,Y,https://bunnyjamesboxes.com/,,$2.00 
13A,"Gluten Free Snacks Care Package - (30-count) Sampler Gift Box of Healthy Bars, Chips, Nuts, To Go Food for Office, Students",6/7/19,SmallTown Table ,SmallTown Table ,Amazon,B07CRQYCGY,$45.00 ,30,N,Y&N,16,4.6,"Gluten Free Snacks - Bars, Chips, Nuts",CONVENIENT GLUTEN-FREE SNACK BOX. Every full size-single snack portion product is FDA approved & certified gluten free. We use only the best snacks in our care packages.,"SO HEALTHY! A snack box filled with unique high protein snacks that you just can't find anywhere. Great gift box, or to try samples of snacks you will enjoy yourself.","DORM OR OFFICE SNACKS: Perfect gift for the gluten free snacker, low thyroid and celiac disease friendly. Makes a fun and hip alternative to gift baskets.","PREMIUM QUALITY: Each individually wrapped snack is carefully hand packed, with love and smiles by SmallTown Table.","EAT BETTER, FEEL BETTER: Think Better. Do Better. Have Fun with our assorted healthy wholesome snacks.",Y,N,Y,https://www.amazon.com/stores/node/15341686011?_encoding=UTF8&field-lbr_brands_browse-bin=SmallTown%20Table&ref_=bl_dp_s_web_15341686011,3.4 lbs,"#61,147 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)",61147,Grocery & Gourmet Food,#185 in Snack Food Gifts,185,Snack Food Gifts,Y,https://smalltowntable.com/,,$1.50 
14A,"Keto Snacks Healthy Care Package - 25 Count Gift Box - The All In One, Low Carb, Ketogenic, Paleo Kit With A Huge Variety of To Go Foods",6/7/19,SmallTown Table,SmallTown Table,Amazon,B07JM3D75X,$59.99 ,25,N,Y,8,4,Keto Snacks - ,"CONVENIENT KETO FRIENDLY FOODS: A box full of high quality, ultra low carb. high protein, portable Keto snacks, treats and a bonus menu plan.","THE PERFECT KETO GIFT: Our high quality care packages exceed expectations, helps you maintain ketosis. Perfect for those who CrossFit","LARGE VARIETY OF KETO TREATS TO GO: 25 snacks including protein bars, cheese bars, beef sticks, pork rinds, nuts, pickles, cheese crisps, seeds...many are gluten free!","MAKES SNACKING SIMPLE: Our kit provides an easy way to try Keto snacks and food, so you can find your favorites. Voted Best Sampler Snack Box!","GIFT BOX: Our care packages can be sent as gifts directly to colleges/offices/anywhere, with your custom gift message added upon checkout.",Y,N,Y,https://www.amazon.com/stores/node/15341686011?_encoding=UTF8&field-lbr_brands_browse-bin=SmallTown%20Table&ref_=bl_dp_s_web_15341686011,2.8 lbs,"#62,401 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)",62401,Grocery & Gourmet Food,Snack Food Gifts,189,Snack Food Gifts,Y,https://smalltowntable.com/,,$2.40 
15A,"NON-GMO HEALTHY SNACKS Care Package (28 Ct): Snack Bars, Vegan Puffs, Popcorn, Fruit Snacks, Freeze Dried Fruit, Gift Box Variety Pack, College Student Military Care Package, Office Client Gift Basket",6/7/19,The Good Grocer,The Good Grocer,Amazon,B016SLSYBQ,$42.95 ,28,Y,Y,298,4.6,Healthy Snacks - Non-Gmo,"NO ARTIFICIAL COLORS, FLAVORS OR PRESERVATIVES: This assortment of 28 nutritious grab-n-go snacks is the perfect snack pack for adults and kids alike. Filled with nutrient dense snacks from better-for-you brands, this healthy snack care package will delight their taste buds and fuel their bodies.","PERFECT GIFT FOR A HEALTHY DIET: We only include GMO-FREE snacks in our snack boxes. Packed with healthy food, they’re perfect for kid’s lunches, students, military or college care packages, get well soon or hospital care packages, office break rooms, road trip snacks, colleague and client appreciation gifts and more! Great for holidays, birthdays or housewarming gifts too!",BEAUTIFULLY PACKAGED: Snacks come packaged in our awesome gift box. It’s really cute and earth-friendly too! All of our boxes are made from 100% recycled materials. Our Healthy Snacks Care Packages are a fun and hip alternative to gift baskets.,GUARANTEED FRESH: Each box is clearly marked with the earliest expiration date. We guarantee our snacks are fresh when you purchase them.,"SHIPS FAST! Send directly using Amazon Prime with no need for additional gift wrapping or packaging! ... Click 'Add to Cart' to treat yourself or someone special to this memorable gift! To include gift message select ""gift"" at checkout.",Y,Y,Y,https://www.amazon.com/stores/node/10218139011?_encoding=UTF8&field-lbr_brands_browse-bin=The%20Good%20Grocer&ref_=bl_dp_s_web_10218139011,2.8 lbs,"#15,661 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)",15661,Grocery & Gourmet Food,#50 in Snack Food Gifts,50,Snack Food Gifts,Y,https://thegoodgrocersnacks.com/,,$1.53 
16A,"Snacks Generation Chips, Cracker, Popcorn & More Healthy Snacks Mixed Variety Pack (35 Count)",6/7/19,Snacks Generation,Snacks Generation,Amazon,B078TPGK1Z,$49.99 ,35,Y,Y,16,4.7,"General Snacks - Chips, Crackers, Popcorn",Snacks Generation Mixed Pack Includes 35 Individual Wrapped Snacks In A Snacks Generation Gift Box,Try Out Many Different Flavors Old and New,Delicious Treats Can Be Send To Others As A Care Gift Package,Nourishing Snacks to Help Individuals to Get Through The Day,Great to Have Around at the Office or Home for All,N,Y,N,N/A,3.6 lbs,"#99,489 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)",99489,Grocery & Gourmet Food,#2684 in Snack Nuts & Seeds,2684,Snack Nuts & Seeds,N,N/A,,$1.43 
17A,"Snacks Gift Care Package (100 Count) College Students, Work/ Office, Home or Military Over 9 Pounds of Cookies Chips & Candy",6/7/19,Snacks Generation,Snacks Generation,Amazon,B078TPLXX4,$49.99 ,100,Y,Y,47,4.2,"General Snacks - Cookies, Chips, Candy","100 Individual Size Treats for Snack Lovers, Over 9 Pounds of Cookies Chips & Candy In Snacks Generation Gift Box","Delicious Treats Can Be Send To Others As A Care Gift Package, Perfect Gift For College Students, Offices, Military, Kids & More",Includes Many Childhood Treats and New Flavors,Nourishing Snacks to Help Individuals to Get Through The Day,Great to Have Around at the Office or Home for All,N,N,N,N/A,8.5 lbs,"#22,406 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)",22406,Grocery & Gourmet Food,#74 in Snack Food Gifts,74,Snack Food Gifts,N,N/A,,$0.50 
18A,"Healthy Snacks Care Package, Many Different Treats To Sample, Chips, Popcorn, Nuts and Gummy Items (50 Count)",6/7/19,Snacks Generation,Snacks Generation,Amazon,B07C382NF7,$49.99 ,50,Y,Y,7,4,"Healthy Snacks - Chips, Popcorn, Nuts, Gummy Items","Healthy Chips. Chewy Gummy Fruit Snacks, Popcorn, Veggie Snacks All In One Healthy Set of Foods",A better way to sample different snacks and find one's perfect set of snacks,Delicious Bundle of Snacks Includes Old and New Flavors,Good Assortment of 50 Delicious Snacks and Perfect to Send to Others as a Gift Package,Great to have around at the Home or Office,N,N,N,N/A,4.5 lbs,"#54,119 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)",54119,Grocery & Gourmet Food,#161 in Snack Food Gifts,161,Snack Food Gifts,N,N/A,,$1.00 
19A,Variety Fun Healthy Office Snacks (200 Count) - Bulk Assortment - Over 16 Pounds of Chips Cookies & Candy,6/7/19,Custom Varietea,VarietyFun,Amazon,B07KFM8G5D,$149.99 ,200,Y,Y,Null,Null,"Healthy Snacks - Chips, Cookies, Candy",PREMIUM SNACKS: Variety Fun Premium Healthy Snacks Care Package Includes An Assortment Of 100 Delicious Individually Wrapped Single Serve Snacks. Find Your Favorite Treats & Try New Great Flavors.,"GREAT VARIETY PACK TO SHARE: Share It In The Office With Your Coworkers, Mix It Up For School Lunches With Your Kids, Send A Care Package To Our Troops, Bring It To A Picnic Or A Party, Or Simply Share It With Your Family And Friends",PERFECT GIFT TO SEND: Perfect Care Package Gift To Send To Your Friends & Family Filled With Healthy & Great Tasting Snacks In A Beautiful Variety Fun Gift Box,"All Snacks Are Carefully Handpicked & Shipped Loose In A Variety Fun Gift Box (Not In Manufacturers Packaging) In Rare Cases, Based Upon Availability Certain Flavors Will Be Replaced With Other Flavors",Taste Explore Enjoy,Y,N,Y,https://www.amazon.com/stores/node/13261387011?_encoding=UTF8&field-lbr_brands_browse-bin=Custom%20Varietea&ref_=bl_dp_s_web_13261387011,18.2 lbs,"#67,192 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)",67192,Grocery & Gourmet Food,#197 in Snack Food Gifts,197,Snack Food Gifts,Y,https://www.varietyfun.com/,,$0.75 
20A,Variety Fun Healthy Office Snacks (100 Count) - Bulk Assortment - Over 10 Pounds of Chips Cookies & Candy,6/7/19,Custom Varietea,VarietyFun,Amazon,B07KFPSZKH,$139.99 ,100,Y,Y,Null,Null,"Healthy Snacks - Chips, Cookies, Candy",SNACKS:by Variety Fun Healthy Snacks Care Package Includes An Assortment Of 100 Single Serve Snacks,"VARIETY PACK TO SHARE:at The Office School Lunches for Kids, Picnic Or Party, Family And Friends",Perfect Care Package for Friends & Family Filled With Healthy & Great Tasting Snacks,Variety Fun specializes in creating custom variety packs. to Taste Explore Enjoy!,"All Snacks Are Carefully Handpicked & Shipped Loose In A Variety Fun Gift Box (Not In Manufacturers Packaging) In Rare Cases, Based Upon Availability Certain Flavors Will Be Replaced With Other Flavors",Y,N,Y,https://www.amazon.com/stores/node/13261387011?_encoding=UTF8&field-lbr_brands_browse-bin=Custom%20Varietea&ref_=bl_dp_s_web_13261387011,10.3 lbs,"#116,093 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)",116093,Grocery & Gourmet Food,#312 in Snack Food Gifts,312,Snack Food Gifts,Y,https://www.varietyfun.com/,,$1.40 
21A,Variety Fun Office Snacks (160 Count) - Bulk Assortment - Over 15 Pounds of Chips Cookies & Candy,6/7/19,Custom Varietea,VarietyFun,Amazon,07K8VXKCG,$99.99 ,160,Y,Y,"2,723",4.4,"General Snacks - Chips, Cookies, Candy",Variety Fun Office Snack Box Includes A Bulk Assortment Of 160 Individually Wrapped Single Serve Snacks,"Explore An Assortment of Snacks, Chips, Cookies, Candy, Nuts & More",Improves Workplace Culture & Helps Boost Employee Morale,"All Snacks Are Carefully Handpicked & Shipped Loose In A Variety Fun Office Snack Box (Not In Manufacturers Packaging) In Rare Cases, Based Upon Availability Certain Flavors Will Be Replaced With Other Flavors",Taste Explore Enjoy,Y,N,Y,https://www.amazon.com/stores/node/13261387011?_encoding=UTF8&field-lbr_brands_browse-bin=Custom%20Varietea&ref_=bl_dp_s_web_13261387011,16.2 lbs,"#214,562 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)",214562,Grocery & Gourmet Food,#292 in Cracker Assortments,292,Cracker Assortments ,Y,https://www.varietyfun.com/,,$0.62 
22A,A Product of Large Healthy Snack Box (48 ct.),6/7/19,Snack Box Pros,HNwholesales,HNwholesales,B07QGSB6YB,$96.00 ,48,N,Y,Null,Null,"General Snacks - Popcorn, Chips",A Product of Large Healthy Snack Box (48 ct.),,,,,N,N,N,N/A,N/A,N/A,,Grocery & Gourmet Food,N/A,,,Y,https://www.snackboxpros.com/,,$2.00 
